Date	Price	Open	High	Low	Volume	Chg%
Jun 27, 2024	60.963	60.982	60.996	60.945	0	-0.03%
Jun 26, 2024	60.979	61.088	61.217	60.960	0	-0.13%
Jun 25, 2024	61.061	61.125	61.220	60.974	0	-0.06%
Jun 24, 2024	61.095	61.013	61.158	60.934	0	0.16%
Jun 21, 2024	61.000	61.102	61.152	60.902	0	-0.13%
Jun 20, 2024	61.077	60.894	61.138	60.821	0	0.33%
Jun 19, 2024	60.875	60.756	60.915	60.739	0	0.22%
Jun 18, 2024	60.741	60.850	60.911	60.625	0	-0.15%
Jun 17, 2024	60.833	60.829	60.902	60.676	0	0.02%
Jun 14, 2024	60.823	60.786	60.868	60.623	0	0.07%
Jun 13, 2024	60.783	60.803	60.901	60.682	0	0.00%
Jun 12, 2024	60.783	60.778	61.026	60.725	0	0.05%
Jun 11, 2024	60.751	60.696	60.830	60.597	0	0.13%
Jun 10, 2024	60.674	60.724	60.743	60.584	0	0.00%
Jun 07, 2024	60.672	61.060	61.104	60.636	0	-0.62%
Jun 06, 2024	61.049	60.883	61.093	60.876	0	0.30%
Jun 05, 2024	60.868	61.087	61.151	60.705	0	-0.29%
Jun 04, 2024	61.047	60.987	61.204	60.910	0	0.16%
Jun 03, 2024	60.951	61.235	61.341	60.833	0	-0.42%
May 31, 2024	61.206	60.891	61.273	60.835	0	0.55%
May 30, 2024	60.873	60.771	60.989	60.681	0	0.21%
May 29, 2024	60.748	60.958	61.063	60.758	0	-0.30%
May 28, 2024	60.932	60.981	61.100	60.915	0	-0.02%
May 27, 2024	60.943	60.776	60.997	60.750	0	0.29%
May 24, 2024	60.770	60.636	60.864	60.472	0	0.25%
May 23, 2024	60.618	60.780	60.956	60.568	0	-0.23%
May 22, 2024	60.758	60.980	61.140	60.758	0	-0.34%
May 21, 2024	60.962	61.144	61.207	60.917	0	-0.24%
May 20, 2024	61.110	61.201	61.268	61.096	0	-0.11%
May 17, 2024	61.177	61.290	61.354	61.063	0	-0.16%
May 16, 2024	61.275	61.329	61.394	61.191	0	-0.06%
May 15, 2024	61.309	61.172	61.401	61.089	0	0.25%
May 14, 2024	61.155	61.074	61.257	60.997	0	0.15%
May 13, 2024	61.062	61.107	61.159	61.002	0	-0.07%
May 10, 2024	61.107	61.027	61.260	60.982	0	0.18%
May 09, 2024	60.999	60.830	61.032	60.762	0	0.31%
May 08, 2024	60.813	60.776	60.842	60.675	0	0.03%
May 07, 2024	60.794	61.119	61.126	60.743	0	-0.46%
May 06, 2024	61.072	60.924	61.191	60.869	0	0.23%
May 03, 2024	60.930	60.980	61.247	60.913	0	-0.14%
May 02, 2024	61.013	60.752	61.062	60.732	0	0.47%
May 01, 2024	60.730	60.584	60.914	60.546	0	0.28%
Apr 30, 2024	60.559	61.064	61.104	60.544	0	-0.80%
Apr 29, 2024	61.048	61.009	61.197	61.000	0	0.09%
Apr 26, 2024	60.995	61.019	61.165	60.883	0	-0.00%
Apr 25, 2024	60.997	60.830	61.041	60.689	0	0.35%
